policy,timestep,sensitivity_weighted_tile_error,mean_assigned_noise_std,sensitivity_weighted_mean_assigned_noise_std,capacity_utilization,shards_on_faulted_tiles,shards_on_unavailable_tiles,projections_on_faulted_tiles,projections_on_unavailable_tiles,placement_feasible,service_failure,available_capacity_utilization
random,0,48.94549286934941,0.023961751708800435,0.024017091313848205,0.857421875,0,0,0,0,True,False,0.857421875
random,1,49.713601112012896,0.024088069885408302,0.02421038705718162,0.857421875,0,0,0,0,True,False,0.857421875
random,2,50.36017135929611,0.024188391485343946,0.024369416978899473,0.857421875,0,0,0,0,True,False,0.857421875
random,3,51.02627061009663,0.02436852151621087,0.024525888123380617,0.857421875,0,0,0,0,True,False,0.857421875
random,4,50.374737512630126,0.024386970872947455,0.024378036308951804,0.857421875,0,0,0,0,True,False,0.857421875
random,5,50.27242663770205,0.024381455476376268,0.024351852688274417,0.857421875,0,0,0,0,True,False,0.857421875
random,6,50.26716607814492,0.02435732366153398,0.02435896212870894,0.857421875,0,0,0,0,True,False,0.857421875
random,7,50.54341697459649,0.024449835425850053,0.024428852399602116,0.857421875,0,0,0,0,True,False,0.857421875
random,8,49.885203448019936,0.02433118285890667,0.02425185328907941,0.857421875,0,0,0,0,True,False,0.857421875
random,9,49.28881921023109,0.024254219220095963,0.024112303383401073,0.857421875,0,0,0,0,True,False,0.857421875
random,10,48.970302748520496,0.024166512328825687,0.024042776473428697,0.857421875,0,0,0,0,True,False,0.857421875
random,11,49.728589358271,0.024335407718280407,0.024222969585926433,0.857421875,0,0,0,0,True,False,0.857421875
random,12,49.57663382767649,0.024322848188383584,0.024189579997134978,0.857421875,0,0,0,0,True,False,0.857421875
random,13,49.59961005067709,0.02441430046265582,0.024206076204374007,0.857421875,0,0,0,0,True,False,0.857421875
random,14,49.79112442399584,0.024401211037460655,0.024230355305418144,0.857421875,0,0,0,0,True,False,0.857421875
