policy,module_name,shard_id,projection_id,block_id,projection_name,execution_index,tile_id,tier_start,tiers_used,used_rows,used_cols,weights_in_shard,group_total_weights,module_num_weights,shard_weight,sensitivity_score,shard_importance,utilization
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r14c0,embedding/token_embedding,embedding,token_embedding,-100,4,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r14c1,embedding/token_embedding,embedding,token_embedding,-100,57,2,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r15c0,embedding/token_embedding,embedding,token_embedding,-100,54,2,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r15c1,embedding/token_embedding,embedding,token_embedding,-100,49,2,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r16c0,embedding/token_embedding,embedding,token_embedding,-100,10,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r16c1,embedding/token_embedding,embedding,token_embedding,-100,0,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r17c0,embedding/token_embedding,embedding,token_embedding,-100,60,2,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r17c1,embedding/token_embedding,embedding,token_embedding,-100,28,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r18c0,embedding/token_embedding,embedding,token_embedding,-100,44,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r18c1,embedding/token_embedding,embedding,token_embedding,-100,26,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r19c0,embedding/token_embedding,embedding,token_embedding,-100,52,2,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r19c1,embedding/token_embedding,embedding,token_embedding,-100,12,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r20c0,embedding/token_embedding,embedding,token_embedding,-100,35,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r20c1,embedding/token_embedding,embedding,token_embedding,-100,53,2,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r21c0,embedding/token_embedding,embedding,token_embedding,-100,38,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r21c1,embedding/token_embedding,embedding,token_embedding,-100,32,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
