policy,module_name,shard_id,projection_id,block_id,projection_name,execution_index,tile_id,tier_start,tiers_used,used_rows,used_cols,weights_in_shard,group_total_weights,module_num_weights,shard_weight,sensitivity_score,shard_importance,utilization
static_sensitivity,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r13c1,embedding/token_embedding,embedding,token_embedding,-100,2,6,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
static_sensitivity,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r14c0,embedding/token_embedding,embedding,token_embedding,-100,55,5,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
static_sensitivity,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r14c1,embedding/token_embedding,embedding,token_embedding,-100,52,5,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
static_sensitivity,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r15c0,embedding/token_embedding,embedding,token_embedding,-100,5,6,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
static_sensitivity,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r15c1,embedding/token_embedding,embedding,token_embedding,-100,28,6,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
static_sensitivity,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r16c0,embedding/token_embedding,embedding,token_embedding,-100,15,6,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
static_sensitivity,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r16c1,embedding/token_embedding,embedding,token_embedding,-100,46,5,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
static_sensitivity,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r17c0,embedding/token_embedding,embedding,token_embedding,-100,48,5,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
static_sensitivity,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r17c1,embedding/token_embedding,embedding,token_embedding,-100,24,6,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
static_sensitivity,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r18c0,embedding/token_embedding,embedding,token_embedding,-100,37,5,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
