policy,shard_id,projection_id,block_id,projection_name,execution_index,row_shard_index,col_shard_index,tile_id,tier_start,tiers_used,weights_in_shard,weights_in_projection,shard_weight,sensitivity_score,shard_importance
random,decoder_stack.layers.0.token_embedding#r18c1,embedding/token_embedding,embedding,token_embedding,-100,18,1,26,3,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r19c0,embedding/token_embedding,embedding,token_embedding,-100,19,0,52,2,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r19c1,embedding/token_embedding,embedding,token_embedding,-100,19,1,12,3,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r20c0,embedding/token_embedding,embedding,token_embedding,-100,20,0,35,3,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r20c1,embedding/token_embedding,embedding,token_embedding,-100,20,1,53,2,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r21c0,embedding/token_embedding,embedding,token_embedding,-100,21,0,38,3,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r21c1,embedding/token_embedding,embedding,token_embedding,-100,21,1,32,3,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r22c0,embedding/token_embedding,embedding,token_embedding,-100,22,0,58,2,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r22c1,embedding/token_embedding,embedding,token_embedding,-100,22,1,13,3,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r23c0,embedding/token_embedding,embedding,token_embedding,-100,23,0,51,2,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r23c1,embedding/token_embedding,embedding,token_embedding,-100,23,1,62,2,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r24c0,embedding/token_embedding,embedding,token_embedding,-100,24,0,2,3,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r24c1,embedding/token_embedding,embedding,token_embedding,-100,24,1,27,3,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r25c0,embedding/token_embedding,embedding,token_embedding,-100,25,0,37,3,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r25c1,embedding/token_embedding,embedding,token_embedding,-100,25,1,5,3,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r26c0,embedding/token_embedding,embedding,token_embedding,-100,26,0,34,3,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r26c1,embedding/token_embedding,embedding,token_embedding,-100,26,1,56,2,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r27c0,embedding/token_embedding,embedding,token_embedding,-100,27,0,43,3,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r27c1,embedding/token_embedding,embedding,token_embedding,-100,27,1,6,3,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r28c0,embedding/token_embedding,embedding,token_embedding,-100,28,0,61,2,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r28c1,embedding/token_embedding,embedding,token_embedding,-100,28,1,8,3,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r29c0,embedding/token_embedding,embedding,token_embedding,-100,29,0,63,2,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r29c1,embedding/token_embedding,embedding,token_embedding,-100,29,1,15,3,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r30c0,embedding/token_embedding,embedding,token_embedding,-100,30,0,17,3,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r30c1,embedding/token_embedding,embedding,token_embedding,-100,30,1,47,2,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r31c0,embedding/token_embedding,embedding,token_embedding,-100,31,0,1,3,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r31c1,embedding/token_embedding,embedding,token_embedding,-100,31,1,14,3,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r32c0,embedding/token_embedding,embedding,token_embedding,-100,32,0,47,3,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r32c1,embedding/token_embedding,embedding,token_embedding,-100,32,1,48,3,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r33c0,embedding/token_embedding,embedding,token_embedding,-100,33,0,49,3,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r33c1,embedding/token_embedding,embedding,token_embedding,-100,33,1,50,3,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r34c0,embedding/token_embedding,embedding,token_embedding,-100,34,0,51,3,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r34c1,embedding/token_embedding,embedding,token_embedding,-100,34,1,52,3,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r35c0,embedding/token_embedding,embedding,token_embedding,-100,35,0,53,3,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r35c1,embedding/token_embedding,embedding,token_embedding,-100,35,1,54,3,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r36c0,embedding/token_embedding,embedding,token_embedding,-100,36,0,55,3,1,262144,38597376,0.006791757035504175,0.0,0.0
