policy,module_name,shard_id,projection_id,block_id,projection_name,execution_index,row_shard_index,col_shard_index,sim_input_start,sim_input_end,sim_output_start,sim_output_end,tile_id,tier_start,tiers_used,used_rows,used_cols,weights_in_shard,weights_in_projection,shard_weight,sensitivity_score,sensitivity_score_unit,sensitivity_reference_noise_std,shard_importance
random,decoder_stack.layers.0.k_proj_out,decoder_stack.layers.0.k_proj_out#r1c1,block_1/attn.c_attn,block_1,attn.c_attn,100,1,1,512,768,512,768,9,0,1,256,256,65536,1769472,0.037037037037037035,0.05735656252573022,delta_ppl_total,0.023,0.002124317130582601
random,decoder_stack.layers.0.v_proj_out,decoder_stack.layers.0.v_proj_out#r0c0,block_1/attn.c_attn,block_1,attn.c_attn,100,0,0,0,512,0,512,14,5,1,512,512,262144,1769472,0.14814814814814814,0.05735656252573022,delta_ppl_total,0.023,0.008497268522330403
random,decoder_stack.layers.0.v_proj_out,decoder_stack.layers.0.v_proj_out#r0c1,block_1/attn.c_attn,block_1,attn.c_attn,100,0,1,0,512,512,768,16,5,1,512,256,131072,1769472,0.07407407407407407,0.05735656252573022,delta_ppl_total,0.023,0.004248634261165202
random,decoder_stack.layers.0.v_proj_out,decoder_stack.layers.0.v_proj_out#r1c0,block_1/attn.c_attn,block_1,attn.c_attn,100,1,0,512,768,0,512,17,5,1,256,512,131072,1769472,0.07407407407407407,0.05735656252573022,delta_ppl_total,0.023,0.004248634261165202
random,decoder_stack.layers.0.v_proj_out,decoder_stack.layers.0.v_proj_out#r1c1,block_1/attn.c_attn,block_1,attn.c_attn,100,1,1,512,768,512,768,19,5,1,256,256,65536,1769472,0.037037037037037035,0.05735656252573022,delta_ppl_total,0.023,0.002124317130582601
random,decoder_stack.layers.0.out_proj,decoder_stack.layers.0.out_proj#r0c0,block_0/attn.c_proj,block_0,attn.c_proj,1,0,0,0,512,0,512,25,2,1,512,512,262144,589824,0.4444444444444444,11.350339747763249,delta_ppl_total,0.023,5.044595443450333
random,decoder_stack.layers.0.out_proj,decoder_stack.layers.0.out_proj#r0c1,block_0/attn.c_proj,block_0,attn.c_proj,1,0,1,0,512,512,768,26,2,1,512,256,131072,589824,0.2222222222222222,11.350339747763249,delta_ppl_total,0.023,2.5222977217251663
random,decoder_stack.layers.0.out_proj,decoder_stack.layers.0.out_proj#r1c0,block_0/attn.c_proj,block_0,attn.c_proj,1,1,0,512,768,0,512,27,2,1,256,512,131072,589824,0.2222222222222222,11.350339747763249,delta_ppl_total,0.023,2.5222977217251663
random,decoder_stack.layers.0.out_proj,decoder_stack.layers.0.out_proj#r1c1,block_0/attn.c_proj,block_0,attn.c_proj,1,1,1,512,768,512,768,28,2,1,256,256,65536,589824,0.1111111111111111,11.350339747763249,delta_ppl_total,0.023,1.2611488608625832
random,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r0c0,block_0/mlp.c_fc,block_0,mlp.c_fc,2,0,0,0,512,0,512,49,4,1,512,512,262144,2359296,0.1111111111111111,0.2156455889038142,delta_ppl_total,0.023,0.023960620989312686
random,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r0c1,block_0/mlp.c_fc,block_0,mlp.c_fc,2,0,1,0,512,512,1024,18,4,1,512,512,262144,2359296,0.1111111111111111,0.2156455889038142,delta_ppl_total,0.023,0.023960620989312686
random,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r0c2,block_0/mlp.c_fc,block_0,mlp.c_fc,2,0,2,0,512,1024,1536,30,4,1,512,512,262144,2359296,0.1111111111111111,0.2156455889038142,delta_ppl_total,0.023,0.023960620989312686
random,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r0c3,block_0/mlp.c_fc,block_0,mlp.c_fc,2,0,3,0,512,1536,2048,46,4,1,512,512,262144,2359296,0.1111111111111111,0.2156455889038142,delta_ppl_total,0.023,0.023960620989312686
random,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r0c4,block_0/mlp.c_fc,block_0,mlp.c_fc,2,0,4,0,512,2048,2560,7,1,1,512,512,262144,2359296,0.1111111111111111,0.2156455889038142,delta_ppl_total,0.023,0.023960620989312686
random,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r0c5,block_0/mlp.c_fc,block_0,mlp.c_fc,2,0,5,0,512,2560,3072,20,1,1,512,512,262144,2359296,0.1111111111111111,0.2156455889038142,delta_ppl_total,0.023,0.023960620989312686
random,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r1c0,block_0/mlp.c_fc,block_0,mlp.c_fc,2,1,0,512,768,0,512,15,1,1,256,512,131072,2359296,0.05555555555555555,0.2156455889038142,delta_ppl_total,0.023,0.011980310494656343
random,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r1c1,block_0/mlp.c_fc,block_0,mlp.c_fc,2,1,1,512,768,512,1024,33,1,1,256,512,131072,2359296,0.05555555555555555,0.2156455889038142,delta_ppl_total,0.023,0.011980310494656343
random,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r1c2,block_0/mlp.c_fc,block_0,mlp.c_fc,2,1,2,512,768,1024,1536,52,1,1,256,512,131072,2359296,0.05555555555555555,0.2156455889038142,delta_ppl_total,0.023,0.011980310494656343
random,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r1c3,block_0/mlp.c_fc,block_0,mlp.c_fc,2,1,3,512,768,1536,2048,4,1,1,256,512,131072,2359296,0.05555555555555555,0.2156455889038142,delta_ppl_total,0.023,0.011980310494656343
random,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r1c4,block_0/mlp.c_fc,block_0,mlp.c_fc,2,1,4,512,768,2048,2560,36,1,1,256,512,131072,2359296,0.05555555555555555,0.2156455889038142,delta_ppl_total,0.023,0.011980310494656343
