policy,num_timesteps,sensitivity_weighted_variance_proxy_mean,quality_proxy_delta_nll_mean,sensitivity_weighted_variance_proxy_std,quality_proxy_delta_nll_std,sensitivity_weighted_variance_proxy_initial,quality_proxy_delta_nll_initial,sensitivity_weighted_variance_proxy_final,quality_proxy_delta_nll_final,mean_sensitivity_weighted_tile_error,max_shards_on_faulted,max_shards_on_unavailable,capacity_utilization,available_capacity_utilization,simulator_execution_time_ns,simulator_energy_nj,simulator_peak_memory_bytes,simulator_flops,lm_head_quality_included,embeddings_analog_mapped,available_tiles_at_mapping,required_projection_tiers,total_tier_capacity
random,120,54.60105817613446,54.60105817613446,5.732758339388647,5.732758339388647,46.84649742003365,46.84649742003365,66.67516301966778,66.67516301966778,54.60105817613446,38,0,0.8333333333333334,0.8333333333333334,,,,,False,False,72,480,576
sequential,120,57.26831871293828,57.26831871293828,6.669926852283534,6.669926852283534,50.01194040140767,50.01194040140767,68.93106934389768,68.93106934389768,57.26831871293828,38,0,0.8333333333333334,0.8333333333333334,,,,,False,False,72,480,576
hardware_only,120,39.234377013426396,39.234377013426396,4.095118615863784,4.095118615863784,33.97554067439904,33.97554067439904,47.89304121603826,47.89304121603826,39.234377013426396,40,0,0.8333333333333334,0.8333333333333334,,,,,False,False,72,480,576
static_sensitivity,120,31.535687761621958,31.535687761621958,3.101551710984517,3.101551710984517,27.118269150577788,27.118269150577788,37.963562619452546,37.963562619452546,31.535687761621958,40,0,0.8333333333333334,0.8333333333333334,,,,,False,False,72,480,576
