policy,timestep,sensitivity_weighted_variance_proxy,quality_proxy_delta_nll,weighted_noise_sum,mean_weighted_tile_noise,reference_noise_std,proxy_noise_scaling,shard_weight,shards_on_faulted,shards_on_unavailable,projections_on_faulted,projections_on_unavailable,available_tiles,faulted_tiles
random,0,46.84649742003365,46.84649742003365,46.84649742003365,0.02475854731972122,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,1,45.95480661483427,45.95480661483427,45.95480661483427,0.024509976438150647,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,2,46.5036683895162,46.5036683895162,46.5036683895162,0.024676576027989373,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,3,47.23824128595168,47.23824128595168,47.23824128595168,0.02482649009118519,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,4,46.852262626572696,46.852262626572696,46.852262626572696,0.02468371490665901,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,5,45.98936966859784,45.98936966859784,45.98936966859784,0.024451595372208576,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,6,47.74244839010816,47.74244839010816,47.74244839010816,0.024757593846908964,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,7,47.61203163895281,47.61203163895281,47.61203163895281,0.02473680963928211,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,8,48.256859633184376,48.256859633184376,48.256859633184376,0.024880545325034073,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,9,48.63695316422322,48.63695316422322,48.63695316422322,0.02502096265035499,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,10,48.73812280799509,48.73812280799509,48.73812280799509,0.025057981746472183,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,11,48.61995964689616,48.61995964689616,48.61995964689616,0.025039785797763333,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,12,48.789902710171916,48.789902710171916,48.789902710171916,0.025044471412811173,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,13,49.326272380295215,49.326272380295215,49.326272380295215,0.02518960109349417,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,14,50.537543607655806,50.537543607655806,50.537543607655806,0.025448452248800803,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,15,51.72003454568859,51.72003454568859,51.72003454568859,0.02566599227492586,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,16,50.78628673415279,50.78628673415279,50.78628673415279,0.02548438865022987,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,17,50.2566892246423,50.2566892246423,50.2566892246423,0.02538540700512253,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,18,50.796268227434304,50.796268227434304,50.796268227434304,0.025444466304478282,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,19,51.03606201385326,51.03606201385326,51.03606201385326,0.02561217622438066,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,20,50.920646500991886,50.920646500991886,50.920646500991886,0.02559719322609763,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,21,51.66778279870536,51.66778279870536,51.66778279870536,0.025731290813206322,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,22,51.72869414505661,51.72869414505661,51.72869414505661,0.025859588850009857,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,23,50.44234002238233,50.44234002238233,50.44234002238233,0.025533260505208114,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,24,50.3835305382692,50.3835305382692,50.3835305382692,0.025500187704965604,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,25,50.45395384176129,50.45395384176129,50.45395384176129,0.025520213897078963,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,26,48.49085170706575,48.49085170706575,48.49085170706575,0.025177154622507088,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,27,49.716491097081956,49.716491097081956,49.716491097081956,0.025439523351207978,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,28,49.46452194645428,49.46452194645428,49.46452194645428,0.025351872267385393,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,29,48.83707375260968,48.83707375260968,48.83707375260968,0.025183319347205732,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,30,49.096913205872184,49.096913205872184,49.096913205872184,0.025261489862187035,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,31,50.757374745123165,50.757374745123165,50.757374745123165,0.025624451606403732,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,32,51.26219754229547,51.26219754229547,51.26219754229547,0.02569060375116508,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,33,50.869270819837865,50.869270819837865,50.869270819837865,0.025508071149008937,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
