module_name,projection_id,block_id,projection_name,execution_index,out_features,in_features,num_weights,group_total_weights,module_weight_fraction,sensitivity_score,sensitivity_score_unit,sensitivity_reference_noise_std,module_importance
decoder_stack.layers.0.ffn1,block_0/mlp.c_fc,block_0,mlp.c_fc,2,3072,768,2359296,2359296,1.0,0.2156455889038142,delta_ppl_total,0.023,0.2156455889038142
decoder_stack.layers.0.ffn2,block_0/mlp.c_proj,block_0,mlp.c_proj,3,768,3072,2359296,2359296,1.0,4.496658314707527,delta_ppl_total,0.023,4.496658314707527
decoder_stack.layers.0.k_proj_in,block_0/attn.c_attn,block_0,attn.c_attn,0,768,768,589824,1769472,0.3333333333333333,0.11981992250334841,delta_ppl_total,0.023,0.039939974167782805
decoder_stack.layers.0.k_proj_out,block_1/attn.c_attn,block_1,attn.c_attn,100,768,768,589824,1769472,0.3333333333333333,0.05735656252573022,delta_ppl_total,0.023,0.019118854175243408
decoder_stack.layers.0.out_proj,block_0/attn.c_proj,block_0,attn.c_proj,1,768,768,589824,589824,1.0,11.350339747763249,delta_ppl_total,0.023,11.350339747763249
decoder_stack.layers.0.q_proj_in,block_0/attn.c_attn,block_0,attn.c_attn,0,768,768,589824,1769472,0.3333333333333333,0.11981992250334841,delta_ppl_total,0.023,0.039939974167782805
decoder_stack.layers.0.q_proj_out,block_1/attn.c_attn,block_1,attn.c_attn,100,768,768,589824,1769472,0.3333333333333333,0.05735656252573022,delta_ppl_total,0.023,0.019118854175243408
decoder_stack.layers.0.v_proj_in,block_0/attn.c_attn,block_0,attn.c_attn,0,768,768,589824,1769472,0.3333333333333333,0.11981992250334841,delta_ppl_total,0.023,0.039939974167782805
decoder_stack.layers.0.v_proj_out,block_1/attn.c_attn,block_1,attn.c_attn,100,768,768,589824,1769472,0.3333333333333333,0.05735656252573022,delta_ppl_total,0.023,0.019118854175243408
decoder_stack.layers.1.ffn1,block_1/mlp.c_fc,block_1,mlp.c_fc,102,3072,768,2359296,2359296,1.0,1.290026538938735,delta_ppl_total,0.023,1.290026538938735
decoder_stack.layers.1.ffn2,block_1/mlp.c_proj,block_1,mlp.c_proj,103,768,3072,2359296,2359296,1.0,1.2110609606543832,delta_ppl_total,0.023,1.2110609606543832
decoder_stack.layers.1.k_proj_out,block_2/attn.c_attn,block_2,attn.c_attn,200,768,768,589824,1769472,0.3333333333333333,1.7787354935574413,delta_ppl_total,0.023,0.5929118311858138
decoder_stack.layers.1.out_proj,block_1/attn.c_proj,block_1,attn.c_proj,101,768,768,589824,589824,1.0,0.3935577137229167,delta_ppl_total,0.023,0.3935577137229167
decoder_stack.layers.1.q_proj_out,block_2/attn.c_attn,block_2,attn.c_attn,200,768,768,589824,1769472,0.3333333333333333,1.7787354935574413,delta_ppl_total,0.023,0.5929118311858138
decoder_stack.layers.1.v_proj_out,block_2/attn.c_attn,block_2,attn.c_attn,200,768,768,589824,1769472,0.3333333333333333,1.7787354935574413,delta_ppl_total,0.023,0.5929118311858138
decoder_stack.layers.10.ffn1,block_10/mlp.c_fc,block_10,mlp.c_fc,1002,3072,768,2359296,2359296,1.0,0.16039026530300332,delta_ppl_total,0.023,0.16039026530300332
decoder_stack.layers.10.ffn2,block_10/mlp.c_proj,block_10,mlp.c_proj,1003,768,3072,2359296,2359296,1.0,0.2773485940542365,delta_ppl_total,0.023,0.2773485940542365
decoder_stack.layers.10.k_proj_out,block_11/attn.c_attn,block_11,attn.c_attn,1100,768,768,589824,1769472,0.3333333333333333,0.6174618228869562,delta_ppl_total,0.023,0.2058206076289854
decoder_stack.layers.10.out_proj,block_10/attn.c_proj,block_10,attn.c_proj,1001,768,768,589824,589824,1.0,0.1523851956705819,delta_ppl_total,0.023,0.1523851956705819
decoder_stack.layers.10.q_proj_out,block_11/attn.c_attn,block_11,attn.c_attn,1100,768,768,589824,1769472,0.3333333333333333,0.6174618228869562,delta_ppl_total,0.023,0.2058206076289854
decoder_stack.layers.10.v_proj_out,block_11/attn.c_attn,block_11,attn.c_attn,1100,768,768,589824,1769472,0.3333333333333333,0.6174618228869562,delta_ppl_total,0.023,0.2058206076289854
decoder_stack.layers.11.ffn1,block_11/mlp.c_fc,block_11,mlp.c_fc,1102,3072,768,2359296,2359296,1.0,-0.04357328966926133,delta_ppl_total,0.023,-0.04357328966926133
decoder_stack.layers.11.ffn2,block_11/mlp.c_proj,block_11,mlp.c_proj,1103,768,3072,2359296,2359296,1.0,1.022026127167355,delta_ppl_total,0.023,1.022026127167355
decoder_stack.layers.11.out_proj,block_11/attn.c_proj,block_11,attn.c_proj,1101,768,768,589824,589824,1.0,2.932298648175034,delta_ppl_total,0.023,2.932298648175034
decoder_stack.layers.2.ffn1,block_2/mlp.c_fc,block_2,mlp.c_fc,202,3072,768,2359296,2359296,1.0,2.481946720853802,delta_ppl_total,0.023,2.481946720853802
decoder_stack.layers.2.ffn2,block_2/mlp.c_proj,block_2,mlp.c_proj,203,768,3072,2359296,2359296,1.0,1.524258107683115,delta_ppl_total,0.023,1.524258107683115
decoder_stack.layers.2.k_proj_out,block_3/attn.c_attn,block_3,attn.c_attn,300,768,768,589824,1769472,0.3333333333333333,0.6515651177712506,delta_ppl_total,0.023,0.21718837259041684
decoder_stack.layers.2.out_proj,block_2/attn.c_proj,block_2,attn.c_proj,201,768,768,589824,589824,1.0,0.14741466404128117,delta_ppl_total,0.023,0.14741466404128117
decoder_stack.layers.2.q_proj_out,block_3/attn.c_attn,block_3,attn.c_attn,300,768,768,589824,1769472,0.3333333333333333,0.6515651177712506,delta_ppl_total,0.023,0.21718837259041684
decoder_stack.layers.2.v_proj_out,block_3/attn.c_attn,block_3,attn.c_attn,300,768,768,589824,1769472,0.3333333333333333,0.6515651177712506,delta_ppl_total,0.023,0.21718837259041684
decoder_stack.layers.3.ffn1,block_3/mlp.c_fc,block_3,mlp.c_fc,302,3072,768,2359296,2359296,1.0,0.163841799681272,delta_ppl_total,0.023,0.163841799681272
decoder_stack.layers.3.ffn2,block_3/mlp.c_proj,block_3,mlp.c_proj,303,768,3072,2359296,2359296,1.0,0.9666221786910064,delta_ppl_total,0.023,0.9666221786910065
decoder_stack.layers.3.k_proj_out,block_4/attn.c_attn,block_4,attn.c_attn,400,768,768,589824,1769472,0.3333333333333333,0.738783729916662,delta_ppl_total,0.023,0.246261243305554
decoder_stack.layers.3.out_proj,block_3/attn.c_proj,block_3,attn.c_proj,301,768,768,589824,589824,1.0,0.08788964415991174,delta_ppl_total,0.023,0.08788964415991174
decoder_stack.layers.3.q_proj_out,block_4/attn.c_attn,block_4,attn.c_attn,400,768,768,589824,1769472,0.3333333333333333,0.738783729916662,delta_ppl_total,0.023,0.246261243305554
decoder_stack.layers.3.v_proj_out,block_4/attn.c_attn,block_4,attn.c_attn,400,768,768,589824,1769472,0.3333333333333333,0.738783729916662,delta_ppl_total,0.023,0.246261243305554
decoder_stack.layers.4.ffn1,block_4/mlp.c_fc,block_4,mlp.c_fc,402,3072,768,2359296,2359296,1.0,0.5316511568749547,delta_ppl_total,0.023,0.5316511568749547
decoder_stack.layers.4.ffn2,block_4/mlp.c_proj,block_4,mlp.c_proj,403,768,3072,2359296,2359296,1.0,0.34283692270215055,delta_ppl_total,0.023,0.34283692270215055
decoder_stack.layers.4.k_proj_out,block_5/attn.c_attn,block_5,attn.c_attn,500,768,768,589824,1769472,0.3333333333333333,1.2303912313897905,delta_ppl_total,0.023,0.4101304104632635
