design,digital_weight_mode,mapping_policy,trace_seeds,n_traces,mean_nll_improvement_vs_all_analog,std_across_traces,t_ci95_low,t_ci95_high,trace_win_fraction,min_trace_improvement,max_trace_improvement,mean_nll_improvement_vs_static_sensitivity,std_across_traces_vs_static_sensitivity,t_ci95_low_vs_static_sensitivity,t_ci95_high_vs_static_sensitivity,trace_win_fraction_vs_static_sensitivity,min_trace_improvement_vs_static_sensitivity,max_trace_improvement_vs_static_sensitivity,digital_projection_mac_fraction,nominal_nll,checkpoint_clipped_digital_nll
hybrid_lm_head,clipped,hardware_only,41;42;43;44;45,5,0.11268558186014928,0.018287431618163874,0.08998237664329102,0.13538878707700752,1.0,0.08785784244537376,0.13491686783383816,0.0461603616728151,0.011359265723589088,0.03205823152025078,0.06026249182537942,1.0,0.030620964197275224,0.06213471966405071,0.31244832109618337,3.4458091353002844,3.437126122922453
hybrid_lm_head_sens,clipped,static_sensitivity,41;42;43;44;45,5,0.06964334108496226,0.005308282714677989,0.06305329419720056,0.07623338797272396,1.0,0.06484370932356853,0.07700613536287793,0.06964334108496226,0.005308282714677989,0.06305329419720056,0.07623338797272396,1.0,0.06484370932356853,0.07700613536287793,0.31244832109618337,3.4458091353002844,3.437126122922453
hybrid_top2,clipped,hardware_only,41;42;43;44;45,5,0.12645354296571468,0.02068808275453772,0.1007700135272175,0.15213707240421187,1.0,0.10723347945879858,0.15744619343870414,0.05992832277838049,0.010543349440956066,0.04683912408558414,0.07301752147117685,1.0,0.047294685917515844,0.07317717357348363,0.3172229855330154,3.4454463741685326,3.437126122922453
hybrid_top2_sens,clipped,static_sensitivity,41;42;43;44;45,5,0.07872718705071349,0.008721196971345734,0.06790012676629151,0.08955424733513548,1.0,0.07060813177443759,0.09245374937638573,0.07872718705071349,0.008721196971345734,0.06790012676629151,0.08955424733513548,1.0,0.07060813177443759,0.09245374937638573,0.3172229855330154,3.4456223629708784,3.437126122922453
