trace_seed,design,timestep,realization,nll,all_analog_nll,nll_improvement_vs_all_analog,nominal_nll,digital_projection_mac_fraction,predicted_tokens
41,hybrid_lm_head,0,0,3.655736432707865,3.642722662204483,-0.013013770503382371,3.5434406888954957,0.31244832109618337,285417
41,hybrid_lm_head,119,0,3.720920502071312,3.762853494254492,0.041932992183179696,3.5434406888954957,0.31244832109618337,285417
41,hybrid_top2,0,0,3.783143684428225,3.642722662204483,-0.1404210222237423,3.666745662689209,0.3172229855330154,285417
41,hybrid_top2,119,0,3.8622593982245332,3.762853494254492,-0.09940590397004145,3.666745662689209,0.3172229855330154,285417
42,hybrid_lm_head,0,0,3.656315078017532,3.6157417904091567,-0.04057328760837553,3.5434406888954957,0.31244832109618337,285417
42,hybrid_lm_head,119,0,3.720695663951204,3.717789360271987,-0.0029063036792167374,3.5434406888954957,0.31244832109618337,285417
42,hybrid_top2,0,0,3.7569066401450866,3.6157417904091567,-0.1411648497359299,3.666745662689209,0.3172229855330154,285417
42,hybrid_top2,119,0,3.8119165213731883,3.717789360271987,-0.09412716110120112,3.666745662689209,0.3172229855330154,285417
43,hybrid_lm_head,0,0,3.670063630654393,3.657440641020361,-0.012622989634031967,3.5435007071409603,0.31244832109618337,285417
43,hybrid_lm_head,119,0,3.752343341013864,3.826538725138565,0.07419538412470095,3.5435007071409603,0.31244832109618337,285417
43,hybrid_top2,0,0,3.7778443213432067,3.657440641020361,-0.12040368032284565,3.6668516991386277,0.3172229855330154,285417
43,hybrid_top2,119,0,3.861992766780238,3.826538725138565,-0.03545404164167287,3.6668516991386277,0.3172229855330154,285417
44,hybrid_lm_head,0,0,3.6320802644162193,3.6120919600182537,-0.019988304397965617,3.5435007071409603,0.31244832109618337,285417
44,hybrid_lm_head,119,0,3.7152932168762316,3.73072487051769,0.015431653641458265,3.5435007071409603,0.31244832109618337,285417
44,hybrid_top2,0,0,3.759471498509889,3.6120919600182537,-0.1473795384916352,3.6668516991386277,0.3172229855330154,285417
44,hybrid_top2,119,0,3.8591289366445234,3.73072487051769,-0.12840406612683353,3.6668516991386277,0.3172229855330154,285417
45,hybrid_lm_head,0,0,3.6467937594246265,3.6150167133645774,-0.03177704606004905,3.5435007071409603,0.31244832109618337,285417
45,hybrid_lm_head,119,0,3.706994165229114,3.7584172132621956,0.05142304803308173,3.5435007071409603,0.31244832109618337,285417
45,hybrid_top2,0,0,3.759264810110933,3.6150167133645774,-0.14424809674635553,3.6668516991386277,0.3172229855330154,285417
45,hybrid_top2,119,0,3.8244346820325408,3.7584172132621956,-0.0660174687703452,3.6668516991386277,0.3172229855330154,285417
