trace_seed,design,digital_weight_mode,policy,timestep,realization,nll,all_analog_nll,nll_improvement_vs_all_analog,static_sensitivity_nll,nll_improvement_vs_static_sensitivity,nominal_nll,checkpoint_digital_nll,checkpoint_clipped_digital_nll,digital_projection_mac_fraction,predicted_tokens
41,hybrid_lm_head,clipped,hardware_only,0,0,3.5483221101931774,3.642722662204483,0.09440055201130537,3.586423775628476,0.03810166543529858,3.4458091353002844,3.759031077866913,3.437126122922453,0.31244832109618337,285417
41,hybrid_lm_head,clipped,hardware_only,119,0,3.609770736386699,3.762853494254492,0.1530827578677929,3.6959385102795017,0.08616777389280283,3.4458091353002844,3.759031077866913,3.437126122922453,0.31244832109618337,285417
41,hybrid_lm_head_sens,clipped,static_sensitivity,0,0,3.5264944859303027,3.586423775628476,0.05992928969817335,3.586423775628476,0.05992928969817335,3.4458091353002844,3.759031077866913,3.437126122922453,0.31244832109618337,285417
41,hybrid_lm_head_sens,clipped,static_sensitivity,119,0,3.601855529251919,3.6959385102795017,0.0940829810275825,3.6959385102795017,0.0940829810275825,3.4458091353002844,3.759031077866913,3.437126122922453,0.31244832109618337,285417
41,hybrid_top2,clipped,hardware_only,0,0,3.5399063342788315,3.642722662204483,0.10281632792565132,3.586423775628476,0.04651744134964453,3.4454463741685326,3.759031077866913,3.437126122922453,0.3172229855330154,285417
41,hybrid_top2,clipped,hardware_only,119,0,3.596101604482179,3.762853494254492,0.1667518897723128,3.6959385102795017,0.09983690579732274,3.4454463741685326,3.759031077866913,3.437126122922453,0.3172229855330154,285417
41,hybrid_top2_sens,clipped,static_sensitivity,0,0,3.5198362343627494,3.586423775628476,0.06658754126572664,3.586423775628476,0.06658754126572664,3.4456223629708784,3.759031077866913,3.437126122922453,0.3172229855330154,285417
41,hybrid_top2_sens,clipped,static_sensitivity,119,0,3.577618552792457,3.6959385102795017,0.11831995748704482,3.6959385102795017,0.11831995748704482,3.4456223629708784,3.759031077866913,3.437126122922453,0.3172229855330154,285417
42,hybrid_lm_head,clipped,hardware_only,0,0,3.548552205485682,3.6157417904091567,0.06718958492347449,3.589381787084764,0.04082958159908179,3.4461086941449017,3.759030776211865,3.437126201540766,0.31244832109618337,285417
42,hybrid_lm_head,clipped,hardware_only,119,0,3.609263260304714,3.717789360271987,0.10852609996727303,3.6616773938619964,0.052414133557282305,3.4461086941449017,3.759030776211865,3.437126201540766,0.31244832109618337,285417
42,hybrid_lm_head_sens,clipped,static_sensitivity,0,0,3.5364486675535907,3.589381787084764,0.0529331195311733,3.589381787084764,0.0529331195311733,3.4461086941449017,3.759030776211865,3.437126201540766,0.31244832109618337,285417
42,hybrid_lm_head_sens,clipped,static_sensitivity,119,0,3.5849230947460327,3.6616773938619964,0.07675429911596376,3.6616773938619964,0.07675429911596376,3.4461086941449017,3.759030776211865,3.437126201540766,0.31244832109618337,285417
42,hybrid_top2,clipped,hardware_only,0,0,3.534757502190101,3.6157417904091567,0.08098428821905568,3.589381787084764,0.05462428489466298,3.4456223629708784,3.759030776211865,3.437126201540766,0.3172229855330154,285417
42,hybrid_top2,clipped,hardware_only,119,0,3.5808401654698088,3.717789360271987,0.13694919480217838,3.6616773938619964,0.08083722839218765,3.4456223629708784,3.759030776211865,3.437126201540766,0.3172229855330154,285417
42,hybrid_top2_sens,clipped,static_sensitivity,0,0,3.524525799631645,3.589381787084764,0.06485598745311894,3.589381787084764,0.06485598745311894,3.4456223629708784,3.759030776211865,3.437126201540766,0.3172229855330154,285417
42,hybrid_top2_sens,clipped,static_sensitivity,119,0,3.5641974727739996,3.6616773938619964,0.09747992108799686,3.6616773938619964,0.09747992108799686,3.4456223629708784,3.759030776211865,3.437126201540766,0.3172229855330154,285417
43,hybrid_lm_head,clipped,hardware_only,0,0,3.5674255133529718,3.657440641020361,0.09001512766738928,3.5960622713984556,0.028636758045483823,3.4461086941449017,3.759030776211865,3.437126201540766,0.31244832109618337,285417
43,hybrid_lm_head,clipped,hardware_only,119,0,3.646720117138278,3.826538725138565,0.17981860800028704,3.6793252874873446,0.032605170349066626,3.4461086941449017,3.759030776211865,3.437126201540766,0.31244832109618337,285417
43,hybrid_lm_head_sens,clipped,static_sensitivity,0,0,3.5429548952314587,3.5960622713984556,0.0531073761669969,3.5960622713984556,0.0531073761669969,3.4457322773540318,3.759030776211865,3.437126201540766,0.31244832109618337,285417
43,hybrid_lm_head_sens,clipped,static_sensitivity,119,0,3.598895661719811,3.6793252874873446,0.08042962576753343,3.6793252874873446,0.08042962576753343,3.4457322773540318,3.759030776211865,3.437126201540766,0.31244832109618337,285417
43,hybrid_top2,clipped,hardware_only,0,0,3.551105161721561,3.657440641020361,0.10633547929879983,3.5960622713984556,0.04495710967689437,3.4456223629708784,3.759030776211865,3.437126201540766,0.3172229855330154,285417
43,hybrid_top2,clipped,hardware_only,119,0,3.6179818175599565,3.826538725138565,0.20855690757860845,3.6793252874873446,0.06134346992738804,3.4456223629708784,3.759030776211865,3.437126201540766,0.3172229855330154,285417
