seed,policy,t,r,nll
43,static_sensitivity,90,1,3.640053311556471
43,random,90,2,3.7712323135799832
43,sequential,90,2,3.7189419944653803
43,hardware_only,90,2,3.737348679573305
43,static_sensitivity,90,2,3.639396455552843
43,random,119,0,3.8558508315821274
43,sequential,119,0,3.78447042229355
43,hardware_only,119,0,3.826538725138565
43,static_sensitivity,119,0,3.6793252874873446
43,random,119,1,3.8475230449416733
43,sequential,119,1,3.7676892964216115
43,hardware_only,119,1,3.8145664430433706
43,static_sensitivity,119,1,3.671172369338278
43,random,119,2,3.8467597217969995
43,sequential,119,2,3.7694720324649604
43,hardware_only,119,2,3.7993402857079728
43,static_sensitivity,119,2,3.6731574364460498
44,random,0,0,3.68613935542363
44,sequential,0,0,3.681693635961061
44,hardware_only,0,0,3.6120919600182537
44,static_sensitivity,0,0,3.567039220563827
44,random,0,1,3.6824279831301783
44,sequential,0,1,3.6893782239660995
44,hardware_only,0,1,3.61543255382114
44,static_sensitivity,0,1,3.5747423923998323
44,random,0,2,3.6954200575428624
44,sequential,0,2,3.68448219418953
44,hardware_only,0,2,3.6124195317640955
44,static_sensitivity,0,2,3.5723187846522175
44,random,30,0,3.7231101545381717
44,sequential,30,0,3.7200643503537743
44,hardware_only,30,0,3.6394524300824784
44,static_sensitivity,30,0,3.590606739016844
44,random,30,1,3.715758233942011
44,sequential,30,1,3.723825229966085
44,hardware_only,30,1,3.6404945055643716
44,static_sensitivity,30,1,3.594702155786603
44,random,30,2,3.7367388783389948
44,sequential,30,2,3.7211906431396375
44,hardware_only,30,2,3.6404504613637068
44,static_sensitivity,30,2,3.594093437263188
44,random,60,0,3.778746839065278
44,sequential,60,0,3.7892140837980426
44,hardware_only,60,0,3.6891143458718467
44,static_sensitivity,60,0,3.6281646451642438
44,random,60,1,3.76983912785848
44,sequential,60,1,3.7858987401463224
44,hardware_only,60,1,3.684148227869396
44,static_sensitivity,60,1,3.630364238574941
44,random,60,2,3.7924913650772476
44,sequential,60,2,3.7862692554364497
44,hardware_only,60,2,3.6840258747018795
44,static_sensitivity,60,2,3.630740574183857
44,random,90,0,3.82071605207245
44,sequential,90,0,3.813682385242968
44,hardware_only,90,0,3.7079156231282004
44,static_sensitivity,90,0,3.64348117425023
44,random,90,1,3.805979759462418
44,sequential,90,1,3.8099900693449067
44,hardware_only,90,1,3.700061848513969
44,static_sensitivity,90,1,3.6451987741668592
44,random,90,2,3.8334458583572006
44,sequential,90,2,3.811453950020575
44,hardware_only,90,2,3.705221251347586
44,static_sensitivity,90,2,3.6461574433097703
44,random,119,0,3.857150565766092
44,sequential,119,0,3.8534126256101873
44,hardware_only,119,0,3.73072487051769
44,static_sensitivity,119,0,3.655900022889551
44,random,119,1,3.8385261617681032
44,sequential,119,1,3.847872235014447
44,hardware_only,119,1,3.721413362838034
44,static_sensitivity,119,1,3.6592392477083377
44,random,119,2,3.8721584615741578
44,sequential,119,2,3.8547478029804845
44,hardware_only,119,2,3.728044303087351
44,static_sensitivity,119,2,3.6602341205843034
45,random,0,0,3.6416352752289036
45,sequential,0,0,3.6590015871123174
45,hardware_only,0,0,3.6150167133645774
45,static_sensitivity,0,0,3.5744163067110124
45,random,0,1,3.665372364837209
45,sequential,0,1,3.6715003649393716
45,hardware_only,0,1,3.6270154718857084
45,static_sensitivity,0,1,3.572283377356854
45,random,0,2,3.659393889075112
45,sequential,0,2,3.689280224530073
45,hardware_only,0,2,3.624958010984578
45,static_sensitivity,0,2,3.587368962585285
45,random,30,0,3.6733791426518483
45,sequential,30,0,3.7026505410457595
45,hardware_only,30,0,3.6362088931504117
45,static_sensitivity,30,0,3.5898994570564624
45,random,30,1,3.698977725052919
45,sequential,30,1,3.7170164952568685
45,hardware_only,30,1,3.6500736445081703
45,static_sensitivity,30,1,3.5896644823012815
45,random,30,2,3.6907259563391355
45,sequential,30,2,3.735243658865652
45,hardware_only,30,2,3.649125717019522
45,static_sensitivity,30,2,3.6042055733314977
45,random,60,0,3.705553899956433
45,sequential,60,0,3.755677218932832
45,hardware_only,60,0,3.662477176249241
45,static_sensitivity,60,0,3.60755315732785
45,random,60,1,3.737018043422357
45,sequential,60,1,3.7721881251181326
45,hardware_only,60,1,3.681295758079884
45,static_sensitivity,60,1,3.60835499148215
45,random,60,2,3.728197766033979
45,sequential,60,2,3.7893651249588176
45,hardware_only,60,2,3.674152128158077
45,static_sensitivity,60,2,3.622290675358106
45,random,90,0,3.757856410036805
45,sequential,90,0,3.8149017612566656
45,hardware_only,90,0,3.7158611239498236
45,static_sensitivity,90,0,3.6386876738626897
45,random,90,1,3.7910987476294187
45,sequential,90,1,3.8320883892770308
45,hardware_only,90,1,3.7355726876139213
45,static_sensitivity,90,1,3.6375802238354975
45,random,90,2,3.779542681136866
45,sequential,90,2,3.850855557294729
45,hardware_only,90,2,3.729916396534144
45,static_sensitivity,90,2,3.6528780981631264
45,random,119,0,3.7982546078261508
45,sequential,119,0,3.8766329536301263
45,hardware_only,119,0,3.7584172132621956
45,static_sensitivity,119,0,3.6679206526834904
45,random,119,1,3.8381647397113103
45,sequential,119,1,3.9032436459722484
45,hardware_only,119,1,3.779633173378565
45,static_sensitivity,119,1,3.6686947892643644
45,random,119,2,3.8257084183368204
45,sequential,119,2,3.920672331232324
45,hardware_only,119,2,3.7693416901386767
45,static_sensitivity,119,2,3.684385941447323
