design,timestep,n_traces,mean_nll,mean_nll_improvement_vs_all_analog,t_ci95_low_vs_all_analog,t_ci95_high_vs_all_analog,trace_win_fraction_vs_all_analog,mean_nll_improvement_vs_static_sensitivity,t_ci95_low_vs_static_sensitivity,t_ci95_high_vs_static_sensitivity,trace_win_fraction_vs_static_sensitivity
hybrid_lm_head,0,5,3.5477245563247295,0.08087819707863657,0.06618945665866974,0.0955669374986034,1.0,0.03494011595257725,0.028342986599297956,0.041537245305856535,1.0
hybrid_lm_head,119,5,3.614771766047324,0.14449296664166197,0.10905579942061752,0.17993013386270643,1.0,0.05738060739305295,0.0321333277343965,0.0826278870517094,1.0
hybrid_lm_head_sens,0,5,3.5281211442844844,0.054543527992822846,0.05078770490745565,0.058299351078190044,1.0,0.054543527992822846,0.05078770490745565,0.058299351078190044,1.0
hybrid_lm_head_sens,119,5,3.587409219263275,0.08474315417710168,0.07412776581376064,0.09535854254044272,1.0,0.08474315417710168,0.07412776581376064,0.09535854254044272,1.0
hybrid_top2,0,5,3.5374660813252987,0.09113667207806771,0.07546575642111217,0.10680758773502325,1.0,0.04519859095200838,0.0375965671097353,0.052800614794281456,1.0
hybrid_top2,119,5,3.5974943188356243,0.16177041385336163,0.12243711361303813,0.20110371409368513,1.0,0.07465805460475261,0.052090601842560647,0.09722550736694457,1.0
hybrid_top2_sens,0,5,3.522754393341721,0.05991027893558627,0.05316611240241292,0.06665444546875963,1.0,0.05991027893558627,0.05316611240241292,0.06665444546875963,1.0
hybrid_top2_sens,119,5,3.5746082782745363,0.0975440951658407,0.08152742596344614,0.11356076436823526,1.0,0.0975440951658407,0.08152742596344614,0.11356076436823526,1.0
